title,content,rating,version,votecount,votesum,time,page
有点坑吧,不是，这个注销后就没法重新注册了吗，这也太坑了吧,1,4.0.2,0,0,2020-07-23T08:20:23-07:00,3
注销账号,能不能注销账号之后可以重新申请一个啊？这样都登陆不上去,3,4.0.2,0,0,2020-07-20T17:40:21-07:00,3
广告问题,说实话广告真的太垃圾了，每次刷黑板墙的时候都会自己弹出来关又关不掉。希望可以减少广告。,1,4.0.2,0,0,2020-07-20T07:20:30-07:00,3
这软件不行,这app要凉了，气不气呀，策划把一手好牌打的稀巴烂，活该！😄😄😄,1,4.0.2,1,1,2020-07-18T19:40:20-07:00,3
😅😅😅,"本来人就少 还根据不同学校划分交流区域
天天就只能看到那几个985211的动态 
看不到双非的 很没意思",2,4.0.2,0,0,2020-07-16T02:30:34-07:00,3
注销后无法重新注册,之前一时兴起下了，后来怕被同学认出来注销了，现在又想重新申请，结果没办法注册了，希望可以改进一下,5,3.9.8,2,2,2020-07-11T08:28:07-07:00,3
注销账户,注销账户就没法再注册了，这一点很不满意,1,3.9.8,0,0,2020-07-09T16:13:39-07:00,3
天天发骚扰广告,真是乌鸡鲅鱼,2,3.9.8,0,0,2020-07-03T20:40:03-07:00,3
恶臭的插入广告,本来17年底18年那会儿是这个软件最美的时候，现在乌龙混杂，开会员，插入广告好恶心。听着歌刷动态，自动播放广告里的声音，音乐都没了，还得重新开。每次都这样。,3,3.9.8,1,1,2020-07-02T18:28:00-07:00,3
之前充了一个月的VIP 也没用几天,"现在注销了 但是还是突然扣了我钱包30块钱🐂🍺 （本来钱包留着钱是做别的事的）现在能把这30块退给我吗？毕竟我真的不需要这个VIP了。。
哦对希望summer出一个功能 谈恋爱了就不要挂个单的状态了 不然直接注销 有点恶心人的",3,3.9.8,0,0,2020-06-27T09:21:50-07:00,3
哭,闪退打不开 卸载之后 appstore一直显示“打开” 重启 还原配置都试过了 还是既下载不了 也打不开,3,3.9.8,0,0,2020-06-26T03:34:34-07:00,3
哎 不喜欢了,商业化了之后很多功能就很麻烦,3,3.9.8,1,1,2020-06-25T07:27:58-07:00,3
生气了,"院校列表按名字搜索还要充钱？这不是一个软件该有的基本功能吗？
国外院校无法认证，看不起留学生吗？凎",1,3.9.7,0,0,2020-06-22T23:15:21-07:00,3
优化再次注册,之前的账号注销了，但是并不能用同一个号码再次注册，希望可以优化一下，同一个号码可以再次注册,3,3.9.7,0,0,2020-06-20T06:38:30-07:00,3
现在点进头像看不到距离了诶，总是被挡住只能看到开头第一位数字，有的烦噢,~,5,3.9.7,0,0,2020-06-18T07:17:38-07:00,3
学生证审核无数次不给通过,学生证审核无数次不给通过 某221 是拒绝新用户呗？,1,3.9.7,0,0,2020-06-18T02:32:50-07:00,3
注销能否优化再次注册,之前因为某些原因，注销了，现在不能注册了，能不能优化呀,4,3.9.7,0,0,2020-06-16T03:49:23-07:00,3
识别渣男利器,这上面基本都是渣男渣女，自己正常途径认识的才靠谱，这个软件用来干嘛大家心知肚明，yp和liaosao,1,3.9.7,1,1,2020-06-13T15:51:35-07:00,3
别给211及双非以下学校开放注册,"非211懂什么顶级高校的事情，让他们和211，top2的人同台共舞？
呵呵😒。
要不发的帖子都diss不过来。
还有啊，注销就永远不能再注册和登录。反正我也不打算再注册。",1,3.9.7,3,1,2020-06-12T01:54:28-07:00,3
闪退,希望软件能对这一块做一些优化，有时候信息一多软件就会自己闪退,5,3.9.7,0,0,2020-06-09T18:56:59-07:00,3
清华渣男和巨婴的游乐场,被上面的清华巨婴咬过，劝退,1,3.9.6,1,1,2020-06-05T22:56:26-07:00,3
优化（提升）注册次数,之前不小心注销了，结果不能重新注册，可以优化注册次数吗？,4,3.9.6,2,1,2020-06-05T08:25:26-07:00,3
希望能加上多个学历的功能,我两个硕士一个国内一个国外的，找同校的不方便。别的使用体验很不错～,5,3.9.6,0,0,2020-06-04T18:30:18-07:00,3
管理员不作为,被封号了，真是奇怪。我信守中国共产党，坚决拥护法律法规，从未发过任何违法违禁及违背道德的低俗、有争端内容，怎么就无缘无故被和谐？希望管理员查查清楚,3,3.9.6,0,0,2020-06-04T10:00:47-07:00,3
运营不长脑子吗,咒人的话题是怎么想出来的,1,3.9.6,1,1,2020-06-04T07:22:39-07:00,3
很不错,被注销的账号还有可能申诉回来吗,5,3.9.6,0,0,2020-06-01T10:22:11-07:00,3
同样的网络，,可以刷抖音，可以刷微博，可以发微信，就是刷不了summer,3,3.9.6,0,0,2020-06-01T06:29:08-07:00,3
网络问题有待优化,"经常“网络错误”。

并且语音的时候隔几分钟就会中断几十秒。",2,3.9.6,0,0,2020-06-01T06:27:09-07:00,3
ipad没有网络,ipad上显示没有网络，之前还能用的,1,3.9.6,0,0,2020-06-01T05:38:59-07:00,3
